,ST,dist,FEC_ID,FEC_name,last_name,combo,
1,CA,3,H2CA03140,"JONES, SCOTT R",jones,CAjones,Drop
2,CA,18,H2CA18163,"HERNANDEZ, PETER",hernandez,CAhernandez,Drop
3,CA,29,H2CA28097,"HERNANDEZ, DAVID RAYMOND",hernandez,CAhernandez,Drop
4,CA,36,H0CA43108,"COLLINS, JOE E III",collins,CAcollins,Keep
5,CA,45,H2CA45158,"COLLINS, SHAWN",collins,CAcollins,Drop
6,CA,50,H8CA52037,"JONES, BRIAN W",jones,CAjones,Drop
7,FL,1,H6FL01143,"MILLS, RALPH JOHN III",mills,FLmills,Drop
8,FL,7,H2FL07156,"MILLS, CORY",mills,FLmills,Keep
9,GA,2,H2GA02155,"WEST, CHRISTOPHER CHRIS",west,GAwest,Keep
10,GA,7,H2GA10232,"WEST, MARY",west,GAwest,Drop
11,GA,9,H2GA09150,"COLLINS, DOUGLAS ALLEN",collins,GAcollins,Drop
12,GA,10,H4GA10071,"COLLINS, MICHAEL A JR",collins,GAcollins,Keep
13,IL,11,H2IL11157,"MILLER, CASSANDRA TANNER",miller,ILmiller,Drop
14,IL,15,H0IL15129,"MILLER, MARY",miller,ILmiller,Keep
15,LA,5,H0LA05120,"LETLOW, LUKE JOSHUA",letlow,LAletlow,Drop
16,LA,5,H2LA05126,"LETLOW, JULIA",letlow,LAletlow,Keep
17,MA,5,H0MA05132,"COLARUSSO, CAROLINE",colarusso,MAcolarusso,Drop
18,MA,5,H2MA05153,"COLARUSSO, CAROLINE",colarusso,MAcolarusso,Keep
19,NC,1,H2NC02295,"MURPHY, BRAD ALLEN",murphy,NCmurphy,Drop
20,NC,3,H0NC03172,"MURPHY, GREGORY FRANCIS DR.",murphy,NCmurphy,Keep
21,NJ,3,H2NJ03282,"SMITH, IAN",smith,NJsmith,Drop
22,NJ,4,H8NJ04014,"SMITH, CHRISTOPHER H",smith,NJsmith,Keep
23,NY,2,H2NY03089,"KING, PETE",king,NYking,Drop
24,NY,5,H2NY05126,"KING, PAUL",king,NYking,Keep
25,TX,3,H2TX03308,"WILLIAMS, RICKEY",williams,TXwilliams,Drop
26,TX,9,H0TX09184,"WILLIAMS, MELISSA MECHELLE",williams,TXwilliams,Drop
27,TX,13,H0TX13228,"JACKSON, RONNY LYNN",jackson,TXjackson,Keep
28,TX,16,H8TX16166,"WILLIAMS, SAMUEL LEE JR",williams,TXwilliams,Drop
29,TX,17,H0TX17104,"FLORES, BILL",flores,TXflores,Drop
30,TX,25,H2TX33040,"WILLIAMS, ROGER",williams,TXwilliams,Keep
31,TX,31,H0TX31048,"WILLIAMS, MICHAEL HOWARD",williams,TXwilliams,Drop
32,TX,34,H2TX34113,"FLORES, MAYRA NOHEMI",flores,TXflores,Keep
33,TX,35,H2TX35151,"JACKSON, MARILYN",jackson,TXjackson,Drop